Libellé;CIP13
"ACTYNOX 50 %/50 % v/v, gaz médicinal comprimé, OXYGÈNE : 50 % mole/mole pour une bouteille ; PROTOXYDE D'AZOTE : 50 % mole/mole pour une bouteille, gaz, 1 bouteille de 15 l munie d'un robinet en laiton avec manodétendeur et raccord de sortie normalisé";3400955031413
OXCARBAZEPINE VIATRIS 300 mg, comprimé pelliculé, OXCARBAZÉPINE : 300 mg pour un comprimé, comprimé pelliculé, plaquette de 50 comprimés;3400937982863
TICAGRELOR EG 90 mg, comprimé pelliculé, TICAGRÉLOR : 90 mg pour un comprimé, comprimé pelliculé, plaquette de 60 comprimés;3400930233870
LEVETIRACETAM VIATRIS 250 mg, comprimé pelliculé, LÉVÉTIRACÉTAM : 250 mg pour un comprimé, comprimé pelliculé, plaquette de 60 comprimés;3400941626104
ACIDE URSODESOXYCHOLIQUE MEDIPHA 250 mg, gélule, ACIDE URSODÉOXYCHOLIQUE : 250 mg pour une gélule, gélule, plaquette de 100 gélules;3400930180969
CAPECITABINE VIATRIS 500 mg, comprimé pelliculé, CAPÉCITABINE : 500 mg pour un comprimé, comprimé pelliculé, 120 plaquette de 1 comprimé;3400927449864
ZIMINO 2,5 mg/ml, solution à diluer pour perfusion, LÉVOSIMENDAN : 2,5 mg pour 1 ml de solution à diluer pour perfusion, solution à diluer pour perfusion, 1 flacon de 5 ml;3400930021040
"W270, CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES : 6 DH 33% pour 1 ml de solution à diluer pour perfusion ; ANTIMONIUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES : 6 DH 67% pour 1 ml de solution à diluer pour perfusion, poudre, 1 pot de 30 g";3400930209998
PHOLCODINE BIOGARAN 6,55 mg/5 mL, sirop, PHOLCODINE MONOHYDRATÉE : 131 mg pour 100 ml de si, sirop, 1 flacon de 200 mL avec bague d’inviolabilité avec gobelet doseur de 15 mL;3400930203910
VECTARION INJECTABLE, lyophilisat et solution pour préparation injectable, ALMITRINE (MÉSILATE D') : 0,015 g pour un flacon, lyophilisat et  solution pour préparation injectable, 12 flacon de 5 ml;3400932142798
CONCERTA LP 54 mg, comprimé à libération prolongée, CHLORHYDRATE DE MÉTHYLPHÉNIDATE : 54 mg pour un comprimé, comprimé à libération prolongée, 1 flacon de sécurité enfant de 28 comprimés;3400936155640
DARZALEX 1800 mg, solution injectable, DARATUMUMAB : 1 800 mg pour un flacon de 15 mL de solution injectable, solution injectable, 1 flacon de 15 ml;3400930212202
XALATAN 50 microgrammes/mL, collyre en solution, LATANOPROST : 50 microgrammes pour 1 ml, collyre en solution, 1 flacon de 2,5 ml;3400934384066
XALATAN 50 microgrammes/mL, collyre en solution, LATANOPROST : 50 microgrammes pour 1 ml, collyre en solution, 3 flacon de 2,5 ml;3400934384127
BETAHISTINE TEVA 24 mg, comprimé, DICHLORHYDRATE DE BÉTAHISTINE : 24 mg pour un comprimé, comprimé, plaquette de 60 comprimés;3400938338294
RAMIPRIL ALMUS 10 mg, comprimé sécable, RAMIPRIL : 10 mg pour un comprimé, comprimé sécable, plaquette de 30 comprimés;3400937335652
RAMIPRIL ALMUS 10 mg, comprimé sécable, RAMIPRIL : 10 mg pour un comprimé, comprimé sécable, plaquette de 90 comprimés;3400939258331
"ARUM TRIPHYLLUM COMPOSE BOIRON, ARGENTUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES : 3CH pour un comprimé ; GRINDELIA POUR PRÉPARATIONS HOMÉOPATHIQUES : 3CH pour un comprimé ; ACONITUM NAPELLUS POUR PRÉPARATIONS HOMÉOPATHIQUES : 3CH pour un comprimé ; ARUM TRIPHYLLUM POUR PRÉPARATIONS HOMÉOPATHIQUES : 3CH pour un comprimé ; RUMEX CRISPUS POUR PRÉPARATIONS HOMÉOPATHIQUES : 3CH pour un comprimé ; SPONGIA TOSTA POUR PRÉPARATIONS HOMÉOPATHIQUES : 4CH pour un comprimé ; DROSERA POUR PRÉPARATIONS HOMÉOPATHIQUES : 3CH pour un comprimé, granules, 1 tube de 4 g";3400930210659
AVTOZMA 20 mg/mL, solution à diluer pour perfusion, TOCILIZUMAB : 20 mg pour 1 mL de solution à dilue, solution à diluer pour perfusion, 1 flacon de 4 mL;3400955106081
AVTOZMA 20 mg/mL, solution à diluer pour perfusion, TOCILIZUMAB : 20 mg pour 1 mL de solution à dilue, solution à diluer pour perfusion, 1 flacon de 10 mL;3400955106104
AVTOZMA 20 mg/mL, solution à diluer pour perfusion, TOCILIZUMAB : 20 mg pour 1 mL de solution à dilue, solution à diluer pour perfusion, 1 flacon de 20 mL;3400955106128
AVODART 0,5 mg, capsule molle, DUTASTÉRIDE : 0,5 mg pour une capsule, capsule molle, 3 plaquette de 10 capsules;3400936182554
SOGROYA 10 mg/1,5 ml, solution injectable en stylo prérempli, SOMAPACITAN : 10 mg pour un stylo prérempli de 1,5 mL de solution, solution injectable, 1 stylo prérempli multidose(s) de 1 cartouche en verre;3400930247297
"PERINDOPRIL ARGININE/INDAPAMIDE VIATRIS 5 mg/1,25 mg, comprimé pelliculé, INDAPAMIDE : 1,25 mg pour un comprimé ; PÉRINDOPRIL ARGININE : 5 mg pour un comprimé, comprimé pelliculé, plaquette de 30 comprimés";3400941862373
"PERINDOPRIL ARGININE/INDAPAMIDE VIATRIS 5 mg/1,25 mg, comprimé pelliculé, INDAPAMIDE : 1,25 mg pour un comprimé ; PÉRINDOPRIL ARGININE : 5 mg pour un comprimé, comprimé pelliculé, plaquette de 90 comprimés";3400941862663
NICOTINELL 1 mg/dose, solution pour pulvérisation buccale, NICOTINE : 1 mg pour une dose de 0,07 mL de solution, solution pour pulvérisation, 1 flacon de 13,2 mL (150 pulvérisations) avec pompe pour pulvérisation PEBD polypropylène;3400930276419
NICOTINELL 1 mg/dose, solution pour pulvérisation buccale, NICOTINE : 1 mg pour une dose de 0,07 mL de solution, solution pour pulvérisation, 2 flacon de 13,2 mL (150 pulvérisations) avec pompe pour pulvérisation PEBD polypropylène;3400930276464
AMMONAPS 940 mg/g, granulés, SODIUM (PHÉNYLBUTYRATE DE) : 940 mg pour 1 g de granulés, granulés, 1 flacon de 266 g avec fermeture de sécurité enfant avec cuillère-mesure;3400956283293
OLIGOSTIM COBALT, comprimé sublingual, GLUCONATE DE COBALT : 0,240 mg pour un comprimé, comprimé, 1 tube de 40 comprimés;3400933418595
ENANTONE LP 1,88 mg, poudre et solvant pour suspension injectable (S.C.) à libération prolongée en seringue pré-remplie, ACÉTATE DE LEUPRORÉLINE : 1,88 mg pour une seringue pré-remplie, poudre et  solvant pour suspension injectable à libération prolongée, 1 seringue préremplie de 22,10 mg de poudre et de 1 ml de solvant avec système de sécurité;3400930233726
SILODOSINE SANDOZ 4 mg, gélule, SILODOSINE : 4 mg pour une gélule, gélule, 30 plaquette de 1 gélule;3400930181461
DACARBAZINE LIPOMED 1000 mg, poudre pour solution pour perfusion, DACARBAZINE : 1000 mg pour un flacon, poudre pour solution pour perfusion, 1 flacon(s) en verre brun;3400930118214
DIOSMINE SUN 600 mg, comprimé pelliculé, DIOSMINE : 600 mg pour un comprimé, comprimé pelliculé, plaquette de 30 comprimés;3400935637789
"EXFORGE 10 mg/160 mg, comprimé pelliculé, VALSARTAN : 160 mg pour un comprimé ; BÉSILATE D'AMLODIPINE, comprimé pelliculé, plaquette de 30 comprimés";3400937818193
